,Date,Sensor_ID,CO2_Room,CO_Room,H2_Room,Humidity_Room,PM05_Room,PM100_Room,PM10_Room,PM25_Room,PM40_Room,PM_Room_Typical_Size,PM_Total_Room,Temperature_Room,VOC_Room,VOC_Room_RAW,scenario_label,class,number_label,UV_Room,Interval_label,CO2_Room_Trend,CO_Room_Trend,H2_Room_Trend,PM05_Room_Trend,PM10_Room_Trend,PM25_Room_Trend,PM40_Room_Trend,PM100_Room_Trend,PM_Room_Typical_Size_Trend,VOC_Room_RAW_Trend
0,0,sensornode0005,568.4,-0.15,0.58,42.44,46,0,7,0,0,0.49,53,24.6,58,-0.09,Ventilation,1,,,0,-0.576666666666667,0.933333333333333,-0.96,-0.926666666666667,-0.773333333333333,0,0,0,-0.766666666666667,0.726666666666667
1,0,sensornode0006,637.3,-0.12,0.79,42.34,48,0,7,0,0,0.49,56,24.92,58,-0.06,Ventilation,1,,,0,-0.876666666666667,0.92,-0.96,-0.936666666666667,-0.756666666666667,0,0,0,0.296666666666667,0.696666666666667
2,0,sensornode0007,792.2,-0.19,0.39,42.92,52,0,8,0,0,0.54,60,24.77,52.8,-0.11,Ventilation,1,,,0,0.32,0.906666666666667,-0.826666666666667,-0.966666666666667,-0.826666666666667,0,0,0,0.14,0.583333333333333
3,0,sensornode0008,660.7,0.65,0.53,44.31,50,0,7,0,0,0.43,57,23.77,61,-0.03,Ventilation,1,,,0,-0.0366666666666667,0.96,-0.933333333333333,-0.936666666666667,-0.85,0,0,0,-0.123333333333333,0.896666666666667
4,10,sensornode0005,592.5,-0.06,0.38,42.55,48,0,7,0,0,0.49,55,24.62,58,-0.08,Ventilation,1,,,0,-0.576666666666667,0.933333333333333,-0.96,-0.926666666666667,-0.773333333333333,0,0,0,-0.766666666666667,0.726666666666667
5,10,sensornode0006,632.6,-0.12,0.79,42.32,42,0,6,0,0,0.49,49,24.95,58,-0.05,Ventilation,1,,,0,-0.876666666666667,0.92,-0.96,-0.936666666666667,-0.756666666666667,0,0,0,0.296666666666667,0.696666666666667
6,10,sensornode0007,790.7,-0.19,0.39,42.97,49,0,7,0,0,0.54,58,24.82,52,-0.11,Ventilation,1,,,0,0.32,0.906666666666667,-0.826666666666667,-0.966666666666667,-0.826666666666667,0,0,0,0.14,0.583333333333333
7,10,sensornode0008,656.8,0.65,0.53,44,50,0,7,0,0,0.44,57,23.92,61.2,0.11,Ventilation,1,,,0,-0.0366666666666667,0.96,-0.933333333333333,-0.936666666666667,-0.85,0,0,0,-0.123333333333333,0.896666666666667
8,20,sensornode0005,591,-0.06,0.38,42.54,47,0,7,0,0,0.49,55,24.66,61.8,0.76,Ventilation,1,,,0,-0.576666666666667,0.933333333333333,-0.96,-0.926666666666667,-0.773333333333333,0,0,0,-0.766666666666667,0.726666666666667
9,20,sensornode0006,612.9,-0.3,0.71,42.26,39,0,6,0,0,0.49,45,24.98,87,3.62,Ventilation,1,,,0,-0.876666666666667,0.92,-0.96,-0.936666666666667,-0.756666666666667,0,0,0,0.296666666666667,0.696666666666667
10,20,sensornode0007,773.7,-0.2,0.36,42.98,45,0,7,0,0,0.54,53,24.81,66.4,2.85,Ventilation,1,,,0,0.32,0.906666666666667,-0.826666666666667,-0.966666666666667,-0.826666666666667,0,0,0,0.14,0.583333333333333
11,20,sensornode0008,660.8,0.87,0.47,43.69,47,0,6,0,0,0.45,54,24.05,87.2,3.86,Ventilation,1,,,0,-0.0366666666666667,0.96,-0.933333333333333,-0.936666666666667,-0.85,0,0,0,-0.123333333333333,0.896666666666667
12,30,sensornode0005,591,3.43,0.24,42.51,46,0,7,0,0,0.49,53,24.67,98.2,3.04,Ventilation,1,,,0,-0.576666666666667,0.933333333333333,-0.96,-0.926666666666667,-0.773333333333333,0,0,0,-0.766666666666667,0.726666666666667
13,30,sensornode0006,603.8,-0.3,0.71,42.22,37,0,5,0,0,0.5,43,25.02,141.4,4.26,Ventilation,1,,,0,-0.876666666666667,0.92,-0.96,-0.936666666666667,-0.756666666666667,0,0,0,0.296666666666667,0.696666666666667
14,30,sensornode0007,779.8,-0.2,0.36,42.96,44,0,7,0,0,0.53,52,24.81,136.8,6.31,Ventilation,1,,,0,0.32,0.906666666666667,-0.826666666666667,-0.966666666666667,-0.826666666666667,0,0,0,0.14,0.583333333333333
15,30,sensornode0008,663,0.87,0.47,43.43,44,0,6,0,0,0.45,51,24.16,132.2,4.9,Ventilation,1,,,0,-0.0366666666666667,0.96,-0.933333333333333,-0.936666666666667,-0.85,0,0,0,-0.123333333333333,0.896666666666667
